epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2452,1.58859,3.3924,0.01316,0.02933,0.6019,0.21742,0.10588,1.06232,3.60681,0.01042,0.00046641,0.00046641,0.00046641
2,46.9156,1.39405,2.30048,0.01123,0.77468,0.41026,0.52369,0.26504,1.28448,2.68725,0.01309,0.000942641,0.000942641,0.000942641
3,57.5443,1.39496,1.94188,0.01085,0.603,0.65608,0.71167,0.39505,1.44182,1.84801,0.015,0.00141846,0.00141846,0.00141846
4,68.2162,1.37927,1.7566,0.01099,0.66406,0.76669,0.7642,0.42017,1.41542,1.55954,0.01489,0.0014276,0.0014276,0.0014276
5,78.9555,1.34916,1.58921,0.01087,0.66979,0.76744,0.76032,0.4129,1.3529,1.43751,0.01387,0.00142652,0.00142652,0.00142652
6,89.7299,1.32521,1.50699,0.01099,0.70462,0.77174,0.79067,0.46628,1.24948,1.42078,0.01271,0.00142513,0.00142513,0.00142513
7,100.594,1.33432,1.46257,0.01058,0.6866,0.81991,0.79284,0.50106,1.15229,1.29423,0.01109,0.00142342,0.00142342,0.00142342
8,111.723,1.30453,1.33407,0.01037,0.73309,0.75195,0.77467,0.49082,1.20543,1.28551,0.01137,0.00142141,0.00142141,0.00142141
9,122.805,1.28879,1.28059,0.01013,0.75464,0.80022,0.81077,0.51518,1.12491,1.15085,0.01088,0.00141909,0.00141909,0.00141909
10,133.865,1.2916,1.25981,0.01017,0.72259,0.82091,0.81668,0.53284,1.18419,1.11916,0.01153,0.00141647,0.00141647,0.00141647
11,144.77,1.30661,1.22294,0.0107,0.68441,0.81946,0.80829,0.5397,1.10139,1.08533,0.01064,0.00141354,0.00141354,0.00141354
12,155.548,1.28695,1.17557,0.01012,0.75229,0.81711,0.81163,0.53214,1.08446,1.03563,0.01059,0.00141031,0.00141031,0.00141031
13,166.281,1.30939,1.19293,0.01065,0.77878,0.80722,0.84201,0.54395,1.15012,0.94149,0.0113,0.00140678,0.00140678,0.00140678
14,177.065,1.27034,1.13875,0.01032,0.75757,0.84037,0.85776,0.53516,1.26407,0.97407,0.01285,0.00140294,0.00140294,0.00140294
15,187.983,1.26017,1.11016,0.00976,0.73216,0.85126,0.82757,0.54272,1.17813,0.93718,0.01138,0.00139881,0.00139881,0.00139881
16,198.904,1.28684,1.10795,0.01026,0.73402,0.79244,0.82597,0.55274,1.09341,1.07445,0.01026,0.00139438,0.00139438,0.00139438
17,209.808,1.28368,1.09236,0.01037,0.78739,0.82849,0.86448,0.56799,1.13426,0.86852,0.01087,0.00138965,0.00138965,0.00138965
18,220.686,1.26018,1.06355,0.01009,0.73437,0.87985,0.85753,0.53156,1.37359,0.90359,0.01388,0.00138464,0.00138464,0.00138464
19,231.544,1.26168,1.07217,0.00994,0.74068,0.85652,0.85121,0.53675,1.15002,0.90182,0.01109,0.00137933,0.00137933,0.00137933
20,242.348,1.25324,1.05139,0.01003,0.74492,0.83843,0.83158,0.5238,1.16632,0.88426,0.01148,0.00137373,0.00137373,0.00137373
21,253.186,1.28146,1.05338,0.01015,0.74925,0.86729,0.87393,0.53016,1.34582,0.86188,0.01349,0.00136785,0.00136785,0.00136785
22,263.99,1.26795,1.05269,0.01013,0.74275,0.86235,0.87162,0.58943,1.09412,0.8161,0.01036,0.00136168,0.00136168,0.00136168
23,274.819,1.25959,1.01163,0.00995,0.78229,0.85301,0.87769,0.57779,1.16063,0.83148,0.01116,0.00135523,0.00135523,0.00135523
24,285.68,1.29516,1.03989,0.01013,0.77748,0.81275,0.82631,0.45805,1.43165,0.96356,0.01455,0.00134851,0.00134851,0.00134851
25,296.543,1.2803,1.03119,0.00992,0.80583,0.8512,0.8816,0.58098,1.14137,0.8389,0.011,0.0013415,0.0013415,0.0013415
26,307.403,1.23446,0.98658,0.00953,0.77494,0.86238,0.87056,0.56057,1.19906,0.78281,0.01173,0.00133423,0.00133423,0.00133423
27,318.297,1.26485,1.01637,0.01024,0.78899,0.86227,0.88146,0.59304,1.1306,0.79481,0.01078,0.00132669,0.00132669,0.00132669
28,329.214,1.23394,0.98845,0.00964,0.78299,0.85344,0.86493,0.58053,1.17022,0.80458,0.01149,0.00131888,0.00131888,0.00131888
29,340.027,1.21365,0.95402,0.00963,0.77715,0.85951,0.87141,0.57166,1.10024,0.77504,0.01054,0.00131082,0.00131082,0.00131082
30,350.945,1.22705,0.97714,0.00989,0.78398,0.88911,0.88365,0.58921,1.12832,0.78643,0.01083,0.00130249,0.00130249,0.00130249
31,361.819,1.23396,0.9726,0.00954,0.76399,0.86867,0.86908,0.58992,1.10497,0.7705,0.01049,0.00129391,0.00129391,0.00129391
32,372.713,1.23724,0.95984,0.00971,0.7565,0.81455,0.84629,0.57111,1.07684,0.85738,0.01012,0.00128507,0.00128507,0.00128507
33,383.554,1.22918,0.94778,0.00961,0.76223,0.84593,0.87648,0.57703,1.07244,0.74751,0.01013,0.00127599,0.00127599,0.00127599
34,394.44,1.23126,0.94841,0.00953,0.80225,0.84344,0.87235,0.57777,1.06807,0.7671,0.01011,0.00126667,0.00126667,0.00126667
35,405.297,1.21209,0.94464,0.00974,0.79989,0.89654,0.88873,0.57095,1.14398,0.72753,0.01086,0.00125711,0.00125711,0.00125711
36,416.108,1.23621,0.94773,0.01006,0.85017,0.84493,0.90153,0.5852,1.18191,0.69292,0.0116,0.00124731,0.00124731,0.00124731
37,426.986,1.21746,0.93397,0.00937,0.84361,0.8538,0.89061,0.58508,1.15152,0.78627,0.01119,0.00123728,0.00123728,0.00123728
38,437.871,1.20096,0.92172,0.00939,0.79499,0.90911,0.89682,0.59999,1.13608,0.76964,0.01109,0.00122703,0.00122703,0.00122703
39,448.718,1.22545,0.93682,0.00963,0.80506,0.85406,0.88358,0.58769,1.11749,0.70631,0.01071,0.00121656,0.00121656,0.00121656
40,459.486,1.22378,0.9427,0.00997,0.7641,0.90189,0.88406,0.60373,1.06452,0.71599,0.01013,0.00120586,0.00120586,0.00120586
41,470.316,1.23692,0.93221,0.00975,0.81638,0.86475,0.89362,0.61248,1.04488,0.69952,0.00991,0.00119496,0.00119496,0.00119496
42,481.194,1.2229,0.91777,0.00972,0.80185,0.87689,0.89072,0.59853,1.08425,0.69123,0.01037,0.00118385,0.00118385,0.00118385
43,491.989,1.1944,0.91366,0.0093,0.82093,0.84776,0.87835,0.59008,1.07904,0.7322,0.01028,0.00117253,0.00117253,0.00117253
44,502.797,1.20065,0.90845,0.00957,0.78232,0.89292,0.88683,0.59948,1.09946,0.77331,0.01049,0.00116102,0.00116102,0.00116102
45,513.582,1.18428,0.90622,0.00946,0.78577,0.90201,0.88653,0.59685,1.07256,0.69577,0.01032,0.00114931,0.00114931,0.00114931
46,524.429,1.21799,0.89828,0.0096,0.85038,0.84652,0.89377,0.6066,1.06193,0.70401,0.01005,0.00113742,0.00113742,0.00113742
47,535.288,1.19107,0.8996,0.00916,0.83964,0.88045,0.89782,0.59524,1.12434,0.69457,0.01076,0.00112534,0.00112534,0.00112534
48,546.124,1.19612,0.88797,0.00949,0.82276,0.85765,0.9012,0.60484,1.08513,0.70003,0.0103,0.00111309,0.00111309,0.00111309
49,557.009,1.19521,0.91068,0.0093,0.82933,0.86,0.89581,0.61575,1.0664,0.72091,0.0101,0.00110066,0.00110066,0.00110066
50,567.869,1.19934,0.90083,0.00936,0.80859,0.83657,0.88763,0.59225,1.10999,0.70606,0.0106,0.00108807,0.00108807,0.00108807
51,578.681,1.18655,0.87541,0.00929,0.80258,0.89713,0.89812,0.59509,1.10625,0.70163,0.01058,0.00107532,0.00107532,0.00107532
52,589.458,1.18768,0.89528,0.00942,0.83395,0.87266,0.89423,0.60308,1.06934,0.64534,0.01017,0.00106242,0.00106242,0.00106242
53,600.176,1.19772,0.87257,0.00942,0.79794,0.88553,0.8931,0.58868,1.14473,0.69193,0.01113,0.00104936,0.00104936,0.00104936
54,611.1,1.18144,0.85173,0.00923,0.80492,0.88666,0.88619,0.5941,1.1099,0.72287,0.01061,0.00103616,0.00103616,0.00103616
55,622.008,1.17565,0.85918,0.00948,0.80538,0.91698,0.90076,0.6139,1.09083,0.67178,0.01053,0.00102282,0.00102282,0.00102282
56,632.847,1.17988,0.87754,0.00948,0.82759,0.88704,0.91078,0.61451,1.12395,0.66691,0.01078,0.00100935,0.00100935,0.00100935
57,643.689,1.20814,0.88047,0.00908,0.84315,0.85198,0.90411,0.62767,1.03214,0.66206,0.00975,0.000995756,0.000995756,0.000995756
